ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-06-24 12:05:05.925462,-57.329156,-66.48763356573488,-48.14855599485868,-57.329156,-57.329156,0.0,0.0,0.0,0.0,0.0,0.0,-57.329156
2024-06-24 12:05:05.925977,-57.329155994840164,-66.91752561681068,-47.976800018617304,-57.329155994840164,-57.329155994840164,0.0,0.0,0.0,0.0,0.0,0.0,-57.329155994840164
2024-06-24 12:05:05.926454,-57.329155990061054,-66.48756942731512,-47.93736216845759,-57.329155990061054,-57.329155990061054,0.0,0.0,0.0,0.0,0.0,0.0,-57.329155990061054
2024-06-24 12:05:05.926959,-57.32915598500141,-66.75552219958121,-47.895747777849444,-57.32915598500141,-57.32915598500141,0.0,0.0,0.0,0.0,0.0,0.0,-57.32915598500141
2024-06-24 12:05:05.927437,-57.32915598021228,-66.13503456393669,-47.49736327256303,-57.32915598021228,-57.32915598021228,0.0,0.0,0.0,0.0,0.0,0.0,-57.32915598021228
2024-06-24 12:05:05.927865,-57.32915597592411,-67.12302697726402,-48.04441242305742,-57.32915597592411,-57.32915597592411,0.0,0.0,0.0,0.0,0.0,0.0,-57.32915597592411
2024-06-24 12:05:05.928291,-57.329155971655965,-67.00957365436548,-47.51831120425269,-57.329155971655965,-57.329155971655965,0.0,0.0,0.0,0.0,0.0,0.0,-57.329155971655965
2024-06-24 12:05:05.928714,-57.32915596741789,-66.59240665763878,-48.02914223906099,-57.32915596741789,-57.32915596741789,0.0,0.0,0.0,0.0,0.0,0.0,-57.32915596741789
2024-06-24 12:05:05.929141,-57.32915596313973,-66.87954755880794,-48.370518113801644,-57.32915596313973,-57.32915596313973,0.0,0.0,0.0,0.0,0.0,0.0,-57.32915596313973
2024-06-24 12:05:05.929563,-57.32915595891167,-66.85590511057771,-47.899621944898904,-57.32915595891167,-57.32915595891167,0.0,0.0,0.0,0.0,0.0,0.0,-57.32915595891167
